172;Στρατιωτική Σχολή Ευελπίδων (Σ.Σ.Ε.)
173;Συντήρησης Πολιτισμικής Κληρονομιάς ΤΕ
174;Σχεδιασμού & Τεχνολογίας Ένδυσης
175;Σχεδιασμού & Τεχνολογίας Ξύλου & Επίπλου ΤΕ
176;Σχολή Αξιωματικών Νοσηλευτικής (Σ.Α.Ν.)
177;Σχολή Ικάρων (Σ.Ι.)- ΙΠΤΑΜΕΝΟΙ
178;Σχολή Ικάρων (Σ.Ι.)- ΜΗΧΑΝΙΚΟΙ
179;Σχολή Μονίμων Υπαξιωματικών (Σ.Μ.Υ.)
180;Σχολή Μονίμων Υπαξιωματικών Ναυτικού (Σ.Μ.Υ.Ν.)
181;Σχολή Ναυτικών Δοκίμων (Σ.Ν.Δ.)
182;Σχολή Τεχνικών Υπαξιωματικών Αεροπορίας (Σ.Τ.Υ.Α.)
183;Σχολή Υπαξιωματικών Διοικητικών (Σ.Υ.Δ.)
184;Τ.Ε.Ι.  Ηλεκτρολόγων Μηχανικών ΤΕ
185;Τ.Ε.Ι.  Μηχανολόγων Μηχανικών ΤΕ
186;Τ.Ε.Ι. Αισθητικής & Κοσμητολογίας
187;Τ.Ε.Ι. Γραφιστικής
188;Τ.Ε.Ι. Γραφιστικής - Τεχνολογίας Γραφικών Τεχνών
189;Τ.Ε.Ι. Δημόσιας Υγιείας & Κοινοτικής Υγείας
190;Τ.Ε.Ι. Διατροφής & Διαιτολογίας
191;Τ.Ε.Ι. Διοίκησης Επιχειρήσεων
192;Τ.Ε.Ι. Διοίκησης Επιχειρήσεων - Διοίκηση Μονάδων Υγείας και Πρόνοιας
193;Τ.Ε.Ι. Διοίκησης Επιχειρήσεων & Οργανισμών - Διοίκηση Μονάδων Υγείας και Πρόνοιας
194;Τ.Ε.Ι. Διοίκησης Επιχειρήσεων & Οργανισμών - Τοπικής Αυτοδιοίκησης
195;Τ.Ε.Ι. Διοίκησης, Οικονομίας και Επικοινωνίας Πολιτιστικών και Τουριστικών Μονάδων
196;Τ.Ε.Ι. Εργοθεραπείας
197;Τ.Ε.Ι. Ηλεκτρονικών Μηχανικών ΤΕ
198;Τ.Ε.Ι. Ιατρικών Εργαστηρίων
199;Τ.Ε.Ι. Κλωστοϋφαντουργών Μηχανικών ΤΕ
200;Τ.Ε.Ι. Κοινωνικής Εργασίας
201;Τ.Ε.Ι. Λαϊκής & Παραδοσιακής Μουσικής
202;Τ.Ε.Ι. Λογιστικής και Χρηματοοικονομικής
203;Τ.Ε.Ι. Λογοθεραπείας
204;Τ.Ε.Ι. Μαιευτικής
205;Τ.Ε.Ι. Μηχανικών Αυτοματισμού ΤΕ
206;Τ.Ε.Ι. Μηχανικών Βιοϊατρικής Τεχνολογίας ΤΕ
207;Τ.Ε.Ι. Μηχανικών Ενεργειακής Τεχνολογίας ΤΕ
208;Τ.Ε.Ι. Μηχανικών Μουσικής Τεχνολογίας & Ακουστικής
209;Τ.Ε.Ι. Μηχανικών Πληροφορικής Τ.Ε.
210;Τ.Ε.Ι. Μηχανικών Τεχνολογίας Αεροσκαφών
211;Τ.Ε.Ι. Μηχανικών Φυσικών Πόρων & Περιβάλλοντος
212;Τ.Ε.Ι. Μηχανολόγων Οχημάτων
213;Τ.Ε.Ι. Ναυπηγών Μηχανικών
214;Τ.Ε.Ι. Νοσηλευτικής
215;Τ.Ε.Ι. Οδοντικής Τεχνολογίας
216;Τ.Ε.Ι. Οπτικής & Οπτομετρίας
217;Τ.Ε.Ι. Πολιτικών Μηχανικών ΤΕ
218;Τ.Ε.Ι. Πολιτικών Μηχανικών ΤΕ και Μηχανικών Τοπογραφίας & Γεωπληροφορικής
219;Τ.Ε.Ι. Προσχολικής Αγωγής
220;Τ.Ε.Ι. Ραδιολογίας & Ακτινολογίας
221;Τ.Ε.Ι. Τεχνολογίας Ήχου & Μουσικών Οργάνων
222;Τ.Ε.Ι. Τεχνολογίας Τροφίμων
223;Τ.Ε.Ι. Τεχνολόγων Γεωπόνων
224;Τ.Ε.Ι. Τεχνολόγων Περιβάλλοντος
225;Τ.Ε.Ι. Φυσικοθεραπείας
226;Τ.Ε.Ι. Φωτογραφίας & Οπτικοακουστικών
227;Τ.Ε.Ι.Οινολογίας & Τεχνολογίας Ποτών
228;ΤΕΙ Μηχανολόγων Μηχανικών και Βιομηχανικού Σχεδιασμού
229;ΤΕΙ Τεχνολογίας Αλιείας- Υδατοκαλλιεργειών
230;Τεχνολόγων Περιβάλλοντος
231;Τεχνών Ήχου & Εικόνας
232;Τούρκικων Σπουδών & Σύγχρονων Ασιατικών Σπουδών
233;Φαρμακευτικής
234;Φιλολογίας
235;Φιλοσοφίας
236;Φιλοσοφίας & Παιδαγωγικής
237;Φιλοσοφίας, Παιδαγωγικής & Ψυχολογίας
238;Φιλοσοφικών & Κοινωνικών Σπουδών
239;Φυσικής
240;Χημείας
241;Χημικών Μηχανικών
242;Χρηματοοικονομικής & Τραπεζικής Διοικητικής
243;ΨΗΦΙΑΚΩΝ ΜΕΣΩΝ & ΕΠΙΚΟΙΝΩΝΙΑΣ
244;Ψηφιακών Μέσων και Επικοινωνίας
245;Ψηφιακών Συστημάτων
246;Ψυχολογίας
247;Γερμανικής Γλώσσας & Φιλολογίας
248;Επιστήμης των Υλικών
249;Εκπαιδευτικών Ηλεκτρονικών Μηχανικών
250;Μηχανικών Αντιρρύπανσης ΤΕ
251;Συντήρησης Αρχαιοτήτων & Έργων Τέχνης (Τ.Ε.Ι.)
